symbol,expr_mean,expr_std,expr_median,expr_max,expr_nonzero_fraction,expr_cv,expr_log1p_mean,expr_log1p_max
ENSG00000000003,2535.2105263157896,1043.461491123964,2422.0,5345,1.0,0.4115877085128467,7.8384263272203025,8.584103896698863
ENSG00000000005,3.456140350877193,9.049605704588533,0.0,58,0.43859649122807015,2.618413833307342,1.4942829991839865,4.07753744390572
ENSG00000000419,260.859649122807,102.36025990108438,260.0,523,1.0,0.39239591192156903,5.567808669856783,6.261491684321042
ENSG00000000457,203.24561403508773,78.79568532009007,205.0,454,1.0,0.3876870145226702,5.31932325999713,6.12029741895095
ENSG00000000460,41.21052631578947,20.74052007381519,41.0,89,1.0,0.5032820962994746,3.742669628700074,4.499809670330265
ENSG00000000938,56.68421052631579,31.854668807131393,49.0,171,1.0,0.5619672305807767,4.05498348834152,5.147494476813453
ENSG00000000971,32927.70175438596,20112.100865226206,30897.0,92811,1.0,0.6107957675044017,10.402099950189541,11.438331220759258
ENSG00000001036,903.6140350877193,424.38803648758113,778.0,1902,1.0,0.469656313435175,6.807508372165168,7.551186867296149
ENSG00000001084,1722.7719298245613,793.0128132982076,1707.0,3515,1.0,0.4603121281288604,7.452270151187317,8.165079258805068
ENSG00000001167,138.5438596491228,76.93992790655359,137.0,326,1.0,0.5553470799890534,4.938378957933086,5.7899601708972535
ENSG00000001460,23.54385964912281,10.199912771753413,22.0,50,1.0,0.43323027421009275,3.200461706830931,3.9318256327243257
ENSG00000001461,144.42105263157896,72.29724045524566,140.0,365,1.0,0.5006004258927359,4.979633345756977,5.902633333401366
ENSG00000001497,387.2105263157895,206.89530969292738,338.0,882,1.0,0.5343225342076418,5.961547786069989,6.78332520060396
ENSG00000001561,124.49122807017544,69.01659293424028,115.0,331,1.0,0.554389204798717,4.832235860273833,5.805134968916488
ENSG00000001617,103.29824561403508,56.6902501419149,93.0,229,1.0,0.5488016742678583,4.647254541290332,5.438079308923196
ENSG00000001626,55.07017543859649,39.429348953504714,50.0,198,0.9824561403508771,0.7159837178559314,4.026604039051615,5.293304824724492
ENSG00000001629,232.2982456140351,127.1801260463005,211.0,591,1.0,0.5474863820435865,5.45231765912785,6.3835066348840055
ENSG00000001630,105.87719298245614,94.20533617268462,77.0,357,1.0,0.8897604244976013,4.671680446180503,5.8805329864007
ENSG00000001631,153.859649122807,89.54556673171074,135.0,432,1.0,0.5819951315515978,5.042519217185682,6.07073772800249
ENSG00000002016,32.92982456140351,26.158759560697558,22.0,133,0.9824561403508771,0.7943789530952375,3.5242944081786893,4.897839799950911
ENSG00000002330,471.57894736842104,235.8971437004167,486.0,1073,1.0,0.5002283181147229,6.158204817354368,6.97914527506881
ENSG00000002549,1967.3859649122808,901.9808707661546,1926.0,4478,1.0,0.4584666592385551,7.584969178765367,8.4071550862073
ENSG00000002586,2604.3684210526317,1423.773214178976,1983.0,6052,1.0,0.5466865604227825,7.865329372614524,8.708309295891688
ENSG00000002587,9.017543859649123,5.965649372120163,8.0,27,0.9649122807017544,0.6615603389316134,2.3043379418214602,3.332204510175204
ENSG00000002726,195.89473684210526,240.89332880895986,136.0,886,0.9473684210526315,1.2297080191752385,5.282669255181705,6.787844982309579
ENSG00000002745,0.05263157894736842,0.22528177844479175,0.0,1,0.05263157894736842,4.280353790451043,0.05129329438755053,0.6931471805599453
ENSG00000002746,2.1052631578947367,2.7882675786634183,1.0,15,0.6666666666666666,1.3244270998651237,1.133098464739279,2.772588722239781
ENSG00000002822,289.0877192982456,171.6338795124413,250.0,688,1.0,0.5937086498488381,5.670183357581343,6.535241271013659
ENSG00000002834,2500.964912280702,1030.508923592615,2455.0,4257,1.0,0.4120445347043531,7.824831667059897,8.356554845453426
ENSG00000002919,175.19298245614036,69.27080363031001,168.0,377,1.0,0.39539713668412485,5.1715798855587884,5.934894195619588
ENSG00000002933,13467.807017543859,7618.031221663219,10780.0,38189,1.0,0.5656474889890819,9.50813169959832,10.550328980219563
ENSG00000003056,709.7017543859649,412.1330387193073,599.0,1625,1.0,0.5807130053889826,6.566252868362186,7.3938782901077555
ENSG00000003096,76.64912280701755,54.355473908886566,69.0,327,1.0,0.7091467184267645,4.352200252776445,5.793013608384144
ENSG00000003137,40.59649122807018,48.017801627968744,20.0,205,0.9649122807017544,1.182806695243828,3.7280158182308556,5.327876168789581
ENSG00000003147,109.84210526315789,99.98478267675182,63.0,393,1.0,0.9102591618870555,4.708106713527481,5.976350909297934
ENSG00000003249,82.80701754385964,45.18787708654803,80.0,213,1.0,0.5457010580367029,4.428516745555411,5.365976015021851
ENSG00000003393,463.5263157894737,313.22995348369625,356.0,1418,1.0,0.6757544131021038,6.141018210663052,7.257707677160043
ENSG00000003400,135.33333333333334,84.73452942095372,124.0,369,1.0,0.6261172124701013,4.915102867374692,5.91350300563827
ENSG00000003402,975.7368421052631,548.6159053966038,830.0,2486,1.0,0.5622580615208734,6.884217262746684,7.818832443803404
ENSG00000003436,2479.3508771929824,1740.0711345396614,2068.0,8162,1.0,0.7018252844106105,7.816155311890395,9.007367027451355
ENSG00000003509,92.54385964912281,51.86213529825238,81.0,246,1.0,0.5604060117536276,4.538430413464049,5.5093883366279774
ENSG00000003756,314.140350877193,145.94953122281825,286.0,724,1.0,0.4645997587233687,5.7530180979342855,6.586171654854675
ENSG00000003987,3.210526315789474,4.995486684803103,2.0,31,0.6666666666666666,1.555971262479655,1.4375876555074412,3.4657359027997265
ENSG00000003989,8712.105263157895,6786.321141205958,6641.0,30629,1.0,0.7789530700351187,9.072583523319551,10.329735199826821
ENSG00000004059,721.438596491228,444.5137800187599,562.0,1817,1.0,0.6161491527909468,6.582632428819546,7.505492274737424
ENSG00000004139,76.10526315789474,47.01165668918352,66.0,224,1.0,0.6177188638274459,4.345171542284727,5.41610040220442
ENSG00000004142,3423.438596491228,1693.033108881638,3025.0,7978,1.0,0.49454168993037356,8.138692823827833,8.984568369308281
ENSG00000004399,796.7719298245614,619.714623768296,530.0,2282,1.0,0.7777816970845708,6.681822754375709,7.733245646529795
ENSG00000004455,1438.2631578947369,514.1097897724275,1461.0,2535,1.0,0.35745182441088014,7.271886565702586,7.8383433155571165
ENSG00000004468,87.3157894736842,81.62986102233863,56.0,365,1.0,0.9348808676458312,4.480918907860711,5.902633333401366
ENSG00000004478,1412.6491228070176,736.0707577407231,1184.0,3981,1.0,0.5210570309760337,7.253929670548161,8.289539484624141
ENSG00000004487,371.859649122807,233.81268743808053,273.0,821,1.0,0.6287659550844777,5.921202073024141,6.71174039505618
ENSG00000004534,200.87719298245614,82.5463225311008,202.0,471,1.0,0.41092929120285987,5.3076595569889085,6.156978985585555
ENSG00000004660,14.368421052631579,10.711528467275953,10.0,45,1.0,0.7454909922279968,2.7323148231018415,3.828641396489095
ENSG00000004700,136.3859649122807,75.39982815108421,131.0,351,1.0,0.5528415493454849,4.922794226916388,5.863631175598097
ENSG00000004766,130.64912280701753,64.61105921149318,120.0,279,1.0,0.4945387907956374,4.8801402228515105,5.634789603169249
ENSG00000004776,157.82456140350877,108.66349150457529,135.0,531,1.0,0.6885081164696301,5.06780020564089,6.2766434893416445
ENSG00000004777,3.456140350877193,3.4541392117625467,3.0,17,0.8421052631578947,0.9994209902054069,1.4942829991839865,2.8903717578961645
