ncrna_id,symbol,disease_id,context_id,translational_score,relevance_score,mean_abs_log2fc,sig_rate,de_consistency,mean_tau,log_tpm_disease,label,confidence_tier,task_type,label_source,dataset_id,notes
LNCRNA_001,HNF1A-AS1,DIS_001,CTX_001,0.6596,0.2062,2.047,0.0,0.0,0.401,4.810068,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,
LNCRNA_005,HULC,DIS_001,CTX_001,0.51,0.2274,2.331,0.0,0.0,0.378,4.585783,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_007,GAS5,DIS_001,CTX_001,0.508,0.3494,0.133,1.0,0.0,0.571,4.659658,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_002,NEAT1,DIS_001,CTX_001,0.5007,0.2068,2.122,0.0,0.0,0.538,4.142658,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_006,HOTAIR,DIS_001,CTX_001,0.4898,0.0479,0.189,0.0,0.0,0.35,3.924347,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_009,MIAT,DIS_001,CTX_001,0.433,0.6447,1.291,1.0,1.0,0.74,4.797607,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,
LNCRNA_003,MALAT1,DIS_001,CTX_001,0.4016,0.0664,0.34,0.0,0.0,0.655,4.676653,0.3,Tier 4 — Low Priority,regression,auto_gse126848_v1,GSE126848,
LNCRNA_004,SNHG12,DIS_001,CTX_001,0.2659,0.0698,0.551,0.0,0.0,0.941,3.022374,0.3,Tier 4 — Low Priority,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9321,ASCL1,DIS_001,CTX_001,0.2368,0.9022,4.921544,1.0,1.0,0.0,0.261456,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,
LNCRNA_010,XIST,DIS_001,CTX_001,0.2289,0.1489,1.508,0.0,0.0,0.883,3.184698,0.3,Tier 4 — Low Priority,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12204,ANKRD12,DIS_001,CTX_001,0.2288,0.8316,3.794134,1.0,1.0,0.0,2.802983,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4338,TIMD4,DIS_001,CTX_001,0.222,0.8009,3.41673,1.0,1.0,0.0,2.799404,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1889,ANKRD36C,DIS_001,CTX_001,0.2209,0.832,4.071822,1.0,1.0,0.0,0.133305,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4952,PNISR,DIS_001,CTX_001,0.2199,0.7951,3.377663,1.0,1.0,0.0,2.489551,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8316,ANKRD26,DIS_001,CTX_001,0.2188,0.8061,3.630871,1.0,1.0,0.0,1.322853,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7543,SAA2,DIS_001,CTX_001,0.2175,0.7797,3.152894,1.0,1.0,0.0,2.829723,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6146,ZMAT1,DIS_001,CTX_001,0.2162,0.8024,3.646244,1.0,1.0,0.0,0.736435,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1024,CD5L,DIS_001,CTX_001,0.2158,0.746,2.54206,1.0,1.0,0.0,4.753227,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7544,SAA1,DIS_001,CTX_001,0.2157,0.7498,2.621164,1.0,1.0,0.0,4.440468,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8853,CD163,DIS_001,CTX_001,0.2156,0.7423,2.476346,1.0,1.0,0.0,4.95392,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1993,MARCO,DIS_001,CTX_001,0.2135,0.7351,2.406652,1.0,1.0,0.0,4.77551,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1908,ANKRD36,DIS_001,CTX_001,0.2124,0.7933,3.597688,1.0,1.0,0.0,0.110559,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11901,LUC7L3,DIS_001,CTX_001,0.2121,0.7521,2.791276,1.0,1.0,0.0,3.049801,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0611,SRSF11,DIS_001,CTX_001,0.2119,0.7542,2.83894,1.0,1.0,0.0,2.829612,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9638,ZC3H13,DIS_001,CTX_001,0.2094,0.7407,2.656729,1.0,1.0,0.0,2.993868,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5727,AKR1B10,DIS_001,CTX_001,0.2089,0.7592,3.039676,1.0,1.0,0.0,1.46409,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10054,RBM25,DIS_001,CTX_001,0.2089,0.7371,2.603034,1.0,1.0,0.0,3.083715,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10688,HBA2,DIS_001,CTX_001,0.2071,0.7314,2.549526,1.0,1.0,0.0,2.915398,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11084,MT1X,DIS_001,CTX_001,0.2069,0.6855,1.645467,1.0,1.0,0.0,6.249531,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1460,ARID4B,DIS_001,CTX_001,0.2067,0.7359,2.652093,1.0,1.0,0.0,2.454967,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2285,CPS1,DIS_001,CTX_001,0.2062,0.6565,1.09718,1.0,1.0,0.0,8.131622,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7510,LYVE1,DIS_001,CTX_001,0.2058,0.7089,2.149164,1.0,1.0,0.0,4.135084,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11087,CETP,DIS_001,CTX_001,0.2058,0.7151,2.272207,1.0,1.0,0.0,3.672914,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3971,SREK1,DIS_001,CTX_001,0.2048,0.7284,2.569852,1.0,1.0,0.0,2.364389,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11216,TAT,DIS_001,CTX_001,0.2047,0.6625,1.26567,1.0,1.0,0.0,7.201626,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9979,ARID4A,DIS_001,CTX_001,0.2045,0.72,2.412033,1.0,1.0,0.0,2.890259,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0716,VCAM1,DIS_001,CTX_001,0.2045,0.7073,2.162319,1.0,1.0,0.0,3.81068,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12459,ESF1,DIS_001,CTX_001,0.2044,0.7286,2.585587,1.0,1.0,0.0,2.222781,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6214,UPF3B,DIS_001,CTX_001,0.2038,0.7366,2.764019,1.0,1.0,0.0,1.438509,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6968,ANKRD18A,DIS_001,CTX_001,0.2033,0.7532,3.111082,1.0,1.0,0.0,0.041118,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10544,CYP1A2,DIS_001,CTX_001,0.2032,0.6553,1.175468,1.0,1.0,0.0,7.22174,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12913,C3,DIS_001,CTX_001,0.2031,0.6184,0.446345,1.0,1.0,0.0,9.921748,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10204,HSP90AA1,DIS_001,CTX_001,0.2026,0.6725,1.538071,1.0,1.0,0.0,5.739373,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7281,ASS1,DIS_001,CTX_001,0.2025,0.6467,1.028587,1.0,1.0,0.0,7.619417,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5520,FAM133B,DIS_001,CTX_001,0.2022,0.7303,2.697129,1.0,1.0,0.0,1.342896,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8102,APOA1,DIS_001,CTX_001,0.2022,0.6246,0.601449,1.0,1.0,0.0,9.143795,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8771,CYP2E1,DIS_001,CTX_001,0.2018,0.621,0.543371,1.0,1.0,0.0,9.272194,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5165,PLG,DIS_001,CTX_001,0.2016,0.634,0.808174,1.0,1.0,0.0,8.247406,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4306,CSF1R,DIS_001,CTX_001,0.2011,0.6846,1.8276,1.0,1.0,0.0,4.348741,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1565,APOB,DIS_001,CTX_001,0.201,0.6188,0.526105,1.0,1.0,0.0,9.179113,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2612,NKTR,DIS_001,CTX_001,0.201,0.7155,2.44332,1.0,1.0,0.0,2.041867,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2124,PPIG,DIS_001,CTX_001,0.2008,0.6939,2.020625,1.0,1.0,0.0,3.584979,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12768,CFD,DIS_001,CTX_001,0.2008,0.7055,2.251547,1.0,1.0,0.0,2.714908,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9927,NEMF,DIS_001,CTX_001,0.2008,0.7097,2.335934,1.0,1.0,0.0,2.397628,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5585,PILRB,DIS_001,CTX_001,0.2005,0.7392,2.928747,1.0,1.0,0.0,0.141627,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1327,CR1,DIS_001,CTX_001,0.2003,0.7147,2.451999,1.0,1.0,0.0,1.865815,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8054,CWF19L2,DIS_001,CTX_001,0.2003,0.7114,2.386049,1.0,1.0,0.0,2.110277,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10787,IL32,DIS_001,CTX_001,0.2002,0.6826,1.81721,1.0,1.0,0.0,4.209351,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9322,STAB2,DIS_001,CTX_001,0.2002,0.6814,1.796259,1.0,1.0,0.0,4.278577,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8292,MRC1,DIS_001,CTX_001,0.2,0.68,1.775323,1.0,1.0,0.0,4.315784,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1878,FABP1,DIS_001,CTX_001,0.1997,0.6451,1.090273,1.0,1.0,0.0,6.817983,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
