score_id,ncrna_id,disease_id,context_id,relevance_score,specificity_score,mechanism_score,tractability_score,human_evidence_score,risk_score,translational_score,confidence_tier,top_evidence,risk_flags,recommended_experiments,model_version,scored_date,expr_mean_tcga_pancan,expr_median_tcga_pancan,expr_std_tcga_pancan,expr_min_tcga_pancan,expr_max_tcga_pancan,expr_q1_tcga_pancan,expr_q3_tcga_pancan,expr_iqr_tcga_pancan,expr_prevalence_tcga_pancan,in_tcga_pancan_expr,gf_geneformer_like_score,gf_regulatory_centrality,gf_perturbation_impact,gf_disease_shift,gf_context_support,gf_risk_adjustment,gf_model_version,n_pathways,max_hub_correlation,mean_lit_confidence,n_unique_papers,conservation_score,n_perturbation_studies,n_high_conf_perts,mean_pert_effect,de_consistency,mean_abs_log2fc,sig_rate,mean_clinical_r,n_sig_clinical,mean_tau,log_tpm_disease,risk_ubiquitous,risk_contradictory_lit,risk_high_isoforms,curated_contradiction_flag,symbol,biotype,conservation_score:1,transcript_count,top_evidence_list,risk_flags_list,recommended_experiments_list,symbol_label,translational_score_label,relevance_score_label,mean_abs_log2fc_label,sig_rate_label,de_consistency_label,mean_tau_label,log_tpm_disease_label,label,confidence_tier_label,task_type,label_source,dataset_id,notes,label_raw
SCR_LNCRNA_001_DIS_001_CTX_001,LNCRNA_001,DIS_001,CTX_001,0.2062,0.4002,0.9489,0.9375,0.9871,1.0,0.6596,Tier 2 — Moderate Confidence,"[""Curated liver evidence tier score = 1.00"", ""Mean |log2FC| = 2.05"", ""Clinical correlation r = 0.70"", ""1 high-confidence perturbation studies"", ""Geneformer-like score = 0.72""]","[""No major risk flags identified""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.715454,0.955699,0.703125,0.588779,0.206122,1.0,gf_v0.5,2.0,0.82,0.895,2.0,0.82,2.0,1.0,1.95,0.0,2.047,0.0,0.695,2.0,0.401,4.810068,0,0,0,0,HNF1A-AS1,lncRNA,0.82,3,"['Curated liver evidence tier score = 1.00', 'Mean |log2FC| = 2.05', 'Clinical correlation r = 0.70', '1 high-confidence perturbation studies', 'Geneformer-like score = 0.72']",['No major risk flags identified'],"['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",HNF1A-AS1,0.6596,0.2062,2.047,0.0,0.0,0.401,4.810068,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,,0.7
SCR_LNCRNA_005_DIS_001_CTX_001,LNCRNA_005,DIS_001,CTX_001,0.2274,0.3785,0.4545,1.0,0.6264,0.75,0.51,Tier 2 — Moderate Confidence,"[""Curated liver evidence tier score = 1.00"", ""Mean |log2FC| = 2.33"", ""Clinical correlation r = 0.61"", ""TCGA pan-cancer mean expression = 244.54"", ""Geneformer-like score = 0.48""]","[""Low tissue specificity (Tau < 0.4) \u2014 systemic liability risk""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,244.536891,0.0,1774.2575,-0.072964,53056.5,0.0,0.583175,0.583175,0.400217,1,0.476559,0.657148,0.25,0.449489,0.545423,0.75,gf_v0.5,1.0,0.68,0.85,1.0,0.55,1.0,0.0,1.2,0.0,2.331,0.0,0.61,1.0,0.378,4.585783,1,0,0,0,HULC,lncRNA,0.55,2,"['Curated liver evidence tier score = 1.00', 'Mean |log2FC| = 2.33', 'Clinical correlation r = 0.61', 'TCGA pan-cancer mean expression = 244.54', 'Geneformer-like score = 0.48']",['Low tissue specificity (Tau < 0.4) — systemic liability risk'],"['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",HULC,0.51,0.2274,2.331,0.0,0.0,0.378,4.585783,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,,0.5
SCR_LNCRNA_007_DIS_001_CTX_001,LNCRNA_007,DIS_001,CTX_001,0.3494,0.5155,0.4811,0.9375,0.414,0.75,0.508,Tier 2 — Moderate Confidence,"[""Curated liver evidence tier score = 0.66"", ""Mean |log2FC| = 0.13"", ""Significant dataset fraction = 1.00"", ""Clinical correlation r = 0.48"", ""TCGA pan-cancer mean expression = 2396.32"", ""Geneformer-like score = 0.51""]","[""High isoform complexity may complicate oligo design""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,2396.315699,1732.37,2418.685196,148.294,50484.5,1069.61,2841.63,1772.02,1.0,1,0.507607,0.676866,0.291667,0.418918,0.748173,0.75,gf_v0.5,1.0,0.65,0.76,1.0,0.77,1.0,0.0,1.6,0.0,0.133,1.0,0.48,0.0,0.571,4.659658,0,0,1,0,GAS5,lncRNA,0.77,6,"['Curated liver evidence tier score = 0.66', 'Mean |log2FC| = 0.13', 'Significant dataset fraction = 1.00', 'Clinical correlation r = 0.48', 'TCGA pan-cancer mean expression = 2396.32', 'Geneformer-like score = 0.51']",['High isoform complexity may complicate oligo design'],"['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",GAS5,0.508,0.3494,0.133,1.0,0.0,0.571,4.659658,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,,0.5
SCR_LNCRNA_002_DIS_001_CTX_001,LNCRNA_002,DIS_001,CTX_001,0.2068,0.4795,0.7045,0.625,0.4426,1.0,0.5007,Tier 2 — Moderate Confidence,"[""Curated liver evidence tier score = 1.00"", ""Mean |log2FC| = 2.12"", ""Clinical correlation r = 0.55"", ""1 high-confidence perturbation studies"", ""TCGA pan-cancer mean expression = 12035.40"", ""Geneformer-like score = 0.58""]","[""No major risk flags identified""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,12035.397508,7605.22,13908.525749,80.0331,326925.0,3719.17,15268.7,11549.53,1.0,1,0.581708,0.753542,0.53125,0.293602,0.728702,1.0,gf_v0.5,1.0,0.79,0.83,1.0,0.91,1.0,1.0,1.5,0.0,2.122,0.0,0.55,0.0,0.538,4.142658,0,0,0,0,NEAT1,lncRNA,0.91,2,"['Curated liver evidence tier score = 1.00', 'Mean |log2FC| = 2.12', 'Clinical correlation r = 0.55', '1 high-confidence perturbation studies', 'TCGA pan-cancer mean expression = 12035.40', 'Geneformer-like score = 0.58']",['No major risk flags identified'],"['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",NEAT1,0.5007,0.2068,2.122,0.0,0.0,0.538,4.142658,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,,0.5
SCR_LNCRNA_006_DIS_001_CTX_001,LNCRNA_006,DIS_001,CTX_001,0.0479,0.3425,0.8,0.625,0.6667,0.75,0.4898,Tier 2 — Moderate Confidence,"[""Curated liver evidence tier score = 1.00"", ""Mean |log2FC| = 0.19"", ""Clinical correlation r = 0.74"", ""1 high-confidence perturbation studies"", ""TCGA pan-cancer mean expression = 32.15"", ""Geneformer-like score = 0.62""]","[""Low tissue specificity (Tau < 0.4) \u2014 systemic liability risk""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,32.148565,3.04755,121.751617,-0.275567,7937.71,0.0,17.716725,17.716725,0.716235,1,0.617058,0.785263,0.625,0.384601,0.603294,0.75,gf_v0.5,1.0,0.88,0.91,1.0,0.88,1.0,1.0,2.4,0.0,0.189,0.0,0.74,1.0,0.35,3.924347,1,0,0,0,HOTAIR,lncRNA,0.88,3,"['Curated liver evidence tier score = 1.00', 'Mean |log2FC| = 0.19', 'Clinical correlation r = 0.74', '1 high-confidence perturbation studies', 'TCGA pan-cancer mean expression = 32.15', 'Geneformer-like score = 0.62']",['Low tissue specificity (Tau < 0.4) — systemic liability risk'],"['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",HOTAIR,0.4898,0.0479,0.189,0.0,0.0,0.35,3.924347,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,,0.5
SCR_LNCRNA_009_DIS_001_CTX_001,LNCRNA_009,DIS_001,CTX_001,0.6447,0.6372,0.175,0.625,0.0,1.0,0.433,Tier 2 — Moderate Confidence,"[""Curated liver evidence tier score = 0.33"", ""Mean |log2FC| = 1.29"", ""Significant dataset fraction = 1.00"", ""DE direction consistency = 1.00"", ""TCGA pan-cancer mean expression = 468.78"", ""Geneformer-like score = 0.39""]","[""No major risk flags identified""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,468.775911,119.19,1469.307265,-0.007404,45655.5,49.4279,328.938,279.5101,0.999819,1,0.392055,0.143158,0.46875,0.315579,0.795883,1.0,gf_v0.5,0.0,0.0,0.0,0.0,0.68,1.0,0.0,0.9,1.0,1.291,1.0,0.0,0.0,0.74,4.797607,0,0,0,0,MIAT,lncRNA,0.68,5,"['Curated liver evidence tier score = 0.33', 'Mean |log2FC| = 1.29', 'Significant dataset fraction = 1.00', 'DE direction consistency = 1.00', 'TCGA pan-cancer mean expression = 468.78', 'Geneformer-like score = 0.39']",['No major risk flags identified'],"['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",MIAT,0.433,0.6447,1.291,1.0,1.0,0.74,4.797607,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,,0.7
SCR_LNCRNA_003_DIS_001_CTX_001,LNCRNA_003,DIS_001,CTX_001,0.0664,0.5747,0.453,0.625,0.228,1.0,0.4016,Tier 3 — Exploratory,"[""Curated liver evidence tier score = 1.00"", ""Mean |log2FC| = 0.34"", ""TCGA pan-cancer mean expression = 4113.42"", ""Geneformer-like score = 0.42""]","[""No major risk flags identified""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,4113.415008,2456.99,5765.734516,41.1247,109013.44717,1367.53,4588.41,3220.88,1.0,1,0.423774,0.73499,0.239583,0.017271,0.770842,1.0,gf_v0.5,1.0,0.71,0.79,1.0,0.95,1.0,0.0,1.1,0.0,0.34,0.0,0.0,0.0,0.655,4.676653,0,0,0,0,MALAT1,lncRNA,0.95,1,"['Curated liver evidence tier score = 1.00', 'Mean |log2FC| = 0.34', 'TCGA pan-cancer mean expression = 4113.42', 'Geneformer-like score = 0.42']",['No major risk flags identified'],"['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",MALAT1,0.4016,0.0664,0.34,0.0,0.0,0.655,4.676653,0.3,Tier 4 — Low Priority,regression,auto_gse126848_v1,GSE126848,,0.3
SCR_LNCRNA_004_DIS_001_CTX_001,LNCRNA_004,DIS_001,CTX_001,0.0698,0.7338,0.0,0.9375,0.0,1.0,0.2659,Tier 3 — Exploratory,"[""Mean |log2FC| = 0.55"", ""TCGA pan-cancer mean expression = 309.78"", ""Geneformer-like score = 0.18""]","[""No curated liver-disease evidence currently linked""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,309.776139,246.273,248.383756,4.2508,3570.24,139.675,408.543,268.868,1.0,1,0.183097,0.149474,0.0,0.027989,0.812575,1.0,gf_v0.5,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.551,0.0,0.0,0.0,0.941,3.022374,0,0,0,0,SNHG12,lncRNA,0.71,4,"['Mean |log2FC| = 0.55', 'TCGA pan-cancer mean expression = 309.78', 'Geneformer-like score = 0.18']",['No curated liver-disease evidence currently linked'],"['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",SNHG12,0.2659,0.0698,0.551,0.0,0.0,0.941,3.022374,0.3,Tier 4 — Low Priority,regression,auto_gse126848_v1,GSE126848,,0.3
SCR_LNCRNA_9321_DIS_001_CTX_001,LNCRNA_9321,DIS_001,CTX_001,0.9022,0.0065,0.0,0.0,0.0,0.75,0.2368,Tier 3 — Exploratory,"[""Mean |log2FC| = 4.92"", ""Significant dataset fraction = 1.00"", ""DE direction consistency = 1.00"", ""Geneformer-like score = 0.24""]","[""Low tissue specificity (Tau < 0.4) \u2014 systemic liability risk"", ""No curated liver-disease evidence currently linked""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.238041,0.0,0.25,0.5,0.005413,0.75,gf_v0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.921544,1.0,0.0,0.0,0.0,0.261456,1,0,0,0,ASCL1,lncRNA,0.0,1,"['Mean |log2FC| = 4.92', 'Significant dataset fraction = 1.00', 'DE direction consistency = 1.00', 'Geneformer-like score = 0.24']","['Low tissue specificity (Tau < 0.4) — systemic liability risk', 'No curated liver-disease evidence currently linked']","['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",ASCL1,0.2368,0.9022,4.921544,1.0,1.0,0.0,0.261456,0.7,Tier 2 — Moderate Confidence,regression,auto_gse126848_v1,GSE126848,,0.7
SCR_LNCRNA_010_DIS_001_CTX_001,LNCRNA_010,DIS_001,CTX_001,0.1489,0.6972,0.0,0.625,0.0,0.75,0.2289,Tier 3 — Exploratory,"[""Mean |log2FC| = 1.51"", ""TCGA pan-cancer mean expression = 4478.00"", ""Geneformer-like score = 0.19""]","[""High isoform complexity may complicate oligo design"", ""No curated liver-disease evidence currently linked""]","[""Validate differential expression in an independent cohort"", ""Review pathway support and perturbation evidence"", ""Prioritize for targeted follow-up assay panel""]",v2.5,2026-05-15 19:18:30,4477.996169,369.085378,8418.592223,-0.243921,361942.0,2.3199,6512.07,6509.7501,0.896377,1,0.192849,0.195789,0.0,0.076602,0.774621,0.75,gf_v0.5,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.508,0.0,0.0,0.0,0.883,3.184698,0,0,1,0,XIST,lncRNA,0.93,8,"['Mean |log2FC| = 1.51', 'TCGA pan-cancer mean expression = 4478.00', 'Geneformer-like score = 0.19']","['High isoform complexity may complicate oligo design', 'No curated liver-disease evidence currently linked']","['Validate differential expression in an independent cohort', 'Review pathway support and perturbation evidence', 'Prioritize for targeted follow-up assay panel']",XIST,0.2289,0.1489,1.508,0.0,0.0,0.883,3.184698,0.3,Tier 4 — Low Priority,regression,auto_gse126848_v1,GSE126848,,0.3
